[2026-04-01T18:47:43.096Z] GET http://localhost:4000/ → pending (?ms, ?B)
[2026-04-01T19:00:04.468Z] GET http://localhost:8080/random → 200 (242ms, 86B)
[2026-04-01T19:00:04.468Z] GET http://localhost:8080/author/name → 200 (24ms, 20B)
[2026-04-01T19:00:04.468Z] GET http://localhost:8080/top_songs?page=1&page_size=10 → 200 (242ms, 1451B)
[2026-04-01T19:00:04.468Z] GET http://localhost:8080/top_albums?page=1&page_size=5 → 200 (242ms, 422B)
[2026-04-01T19:00:04.468Z] GET http://localhost:8080/random → 200 (242ms, 94B)
[2026-04-01T19:00:04.469Z] GET http://localhost:8080/author/name → 200 (23ms, 20B)
[2026-04-01T19:00:04.469Z] GET http://localhost:4000/img/taylor-1.png → 200 (8ms, 1396044B)
[2026-04-01T19:00:04.469Z] GET http://localhost:4000/img/taylor-2.png → 200 (8ms, 574199B)
[2026-04-01T19:00:04.469Z] GET http://localhost:4000/img/taylor-3.png → 200 (9ms, 603300B)
[2026-04-01T19:00:04.469Z] GET http://localhost:4000/img/taylor-4.avif → 200 (9ms, 96420B)
[2026-04-01T19:00:04.469Z] GET http://localhost:4000/img/taylor-5.webp → 200 (9ms, 373156B)
[2026-04-01T19:00:04.469Z] GET http://localhost:4000/img/taylor-6.png → 200 (43ms, 554165B)
[2026-04-01T19:00:04.469Z] GET http://localhost:4000/img/taylor-7.png → 200 (43ms, 172198B)
[2026-04-01T19:00:04.469Z] GET http://localhost:4000/img/taylor-8.png → 200 (50ms, 269408B)
[2026-04-01T19:00:25.455Z] GET http://localhost:4000/ → 200 (5ms, 670B)
[2026-04-01T19:00:25.463Z] GET http://localhost:4000/static/js/bundle.js → 304 (7ms, ?B)
[2026-04-01T19:00:25.496Z] GET https://fonts.googleapis.com/css2?family=Montserrat:wght@400;600;700;900&family=Inter:wght@400;500;600&family=Playfair+Display:ital,wght@0,700;1,700&display=swap → 200 (4ms, 18678B)
[2026-04-01T19:00:25.502Z] GET https://fonts.gstatic.com/s/inter/v20/UcC73FwrK3iLTeHuS_nVMrMxCp50SjIa1ZL7W0Q5nw.woff2 → 200 (?ms, ?B)
[2026-04-01T19:00:25.502Z] GET https://fonts.gstatic.com/s/montserrat/v31/JTUSjIg1_i6t8kCHKm459WlhyyTh89Y.woff2 → 200 (?ms, ?B)
[2026-04-01T19:00:25.502Z] GET https://fonts.gstatic.com/s/playfairdisplay/v40/nuFRD-vYSZviVYUb_rj3ij__anPXDTnCjmHKM4nYO7KN_k-UXtHA-X-uE0qEEw.woff2 → 200 (?ms, ?B)
[2026-04-01T19:00:25.515Z] GET http://localhost:4000/img/taylor-1.png → 304 (3ms, ?B)
[2026-04-01T19:00:25.515Z] GET http://localhost:4000/img/taylor-2.png → 304 (4ms, ?B)
[2026-04-01T19:00:25.515Z] GET http://localhost:4000/img/taylor-3.png → 304 (4ms, ?B)
[2026-04-01T19:00:25.516Z] GET http://localhost:4000/img/taylor-4.avif → 304 (4ms, ?B)
[2026-04-01T19:00:25.516Z] GET http://localhost:4000/img/taylor-5.webp → 304 (4ms, ?B)
[2026-04-01T19:00:25.516Z] GET http://localhost:4000/img/taylor-6.png → 304 (7ms, ?B)
[2026-04-01T19:00:25.516Z] GET http://localhost:4000/img/taylor-7.png → 304 (3ms, ?B)
[2026-04-01T19:00:25.516Z] GET http://localhost:4000/img/taylor-8.png → 304 (3ms, ?B)
[2026-04-01T19:00:25.516Z] GET http://localhost:8080/top_songs?page=1&page_size=10 → 200 (161ms, 1451B)
[2026-04-01T19:00:25.516Z] GET http://localhost:8080/top_albums?page=1&page_size=5 → 200 (153ms, 422B)
[2026-04-01T19:00:25.517Z] GET http://localhost:8080/random → 200 (190ms, 93B)
[2026-04-01T19:00:25.517Z] GET http://localhost:8080/author/name → 200 (15ms, 20B)
[2026-04-01T19:00:25.517Z] GET http://localhost:8080/top_songs?page=1&page_size=10 → 200 (139ms, 1451B)
[2026-04-01T19:00:25.517Z] GET http://localhost:8080/top_albums?page=1&page_size=5 → 200 (135ms, 422B)
[2026-04-01T19:00:25.518Z] GET http://localhost:8080/random → 200 (180ms, 94B)
[2026-04-01T19:00:25.518Z] GET http://localhost:8080/author/name → 200 (13ms, 20B)
[2026-04-01T19:02:43.212Z] GET http://localhost:4000/main.6c30610832ca18aff6b4.hot-update.json → 200 (12ms, 28B)
[2026-04-01T19:02:43.227Z] GET http://localhost:4000/main.6c30610832ca18aff6b4.hot-update.js → 200 (6ms, 56576B)
[2026-04-01T19:03:32.844Z] GET http://localhost:4000/main.099451f2cb672144b587.hot-update.json → 200 (12ms, 28B)
[2026-04-01T19:03:32.858Z] GET http://localhost:4000/main.099451f2cb672144b587.hot-update.js → 200 (13ms, 56763B)
[2026-04-01T19:03:43.197Z] GET http://localhost:4000/main.c46ac79157bc2b085c75.hot-update.json → 200 (9ms, 28B)
